"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	27937	3795762	736.0
	"1999"	"1999"	"1 year"	"1"	1989	3785088	52.5
	"1999"	"1999"	"2 years"	"2"	1376	3782635	36.4
	"1999"	"1999"	"3 years"	"3"	1046	3824806	27.3
	"1999"	"1999"	"4 years"	"4"	838	3947253	21.2
	"1999"	"1999"	"5 years"	"5"	763	3999762	19.1
	"1999"	"1999"	"6 years"	"6"	696	4042620	17.2
	"1999"	"1999"	"7 years"	"7"	683	4163303	16.4
	"1999"	"1999"	"8 years"	"8"	692	4170706	16.6
	"1999"	"1999"	"9 years"	"9"	640	4230069	15.1
	"1999"	"1999"	"10 years"	"10"	687	4148653	16.6
	"1999"	"1999"	"11 years"	"11"	711	4036182	17.6
	"1999"	"1999"	"12 years"	"12"	717	4009910	17.9
	"1999"	"1999"	"13 years"	"13"	847	4003607	21.2
	"1999"	"1999"	"14 years"	"14"	1159	4015012	28.9
	"1999"	"1999"	"15 years"	"15"	1509	3939152	38.3
	"1999"	"1999"	"16 years"	"16"	2354	4020305	58.6
	"1999"	"1999"	"17 years"	"17"	2904	4031224	72.0
	"1999"	"1999"	"18 years"	"18"	3404	3989843	85.3
	"1999"	"1999"	"19 years"	"19"	3607	4104078	87.9
	"1999"	"1999"	"20 years"	"20"	3501	3925495	89.2
	"1999"	"1999"	"21 years"	"21"	3538	3763401	94.0
	"1999"	"1999"	"22 years"	"22"	3373	3694190	91.3
	"1999"	"1999"	"23 years"	"23"	3288	3562469	92.3
	"1999"	"1999"	"24 years"	"24"	3178	3645874	87.2
	"1999"	"1999"	"25 years"	"25"	3137	3657407	85.8
	"1999"	"1999"	"26 years"	"26"	3277	3666228	89.4
	"1999"	"1999"	"27 years"	"27"	3549	3935064	90.2
	"1999"	"1999"	"28 years"	"28"	3762	4146484	90.7
	"1999"	"1999"	"29 years"	"29"	3978	4169874	95.4
	"1999"	"1999"	"30 years"	"30"	4005	4181212	95.8
	"1999"	"1999"	"31 years"	"31"	4184	3936187	106.3
	"1999"	"1999"	"32 years"	"32"	4599	4043957	113.7
	"1999"	"1999"	"33 years"	"33"	4965	4079717	121.7
	"1999"	"1999"	"34 years"	"34"	5610	4362276	128.6
	"1999"	"1999"	"35 years"	"35"	6275	4605618	136.2
	"1999"	"1999"	"36 years"	"36"	6667	4543561	146.7
	"1999"	"1999"	"37 years"	"37"	7306	4582792	159.4
	"1999"	"1999"	"38 years"	"38"	8041	4530009	177.5
	"1999"	"1999"	"39 years"	"39"	8515	4620569	184.3
	"1999"	"1999"	"40 years"	"40"	9036	4667525	193.6
	"1999"	"1999"	"41 years"	"41"	9807	4461898	219.8
	"1999"	"1999"	"42 years"	"42"	10473	4506931	232.4
	"1999"	"1999"	"43 years"	"43"	11212	4297852	260.9
	"1999"	"1999"	"44 years"	"44"	11924	4259922	279.9
	"1999"	"1999"	"45 years"	"45"	12407	4245882	292.2
	"1999"	"1999"	"46 years"	"46"	13106	3994950	328.1
	"1999"	"1999"	"47 years"	"47"	13550	3937147	344.2
	"1999"	"1999"	"48 years"	"48"	14039	3710656	378.3
	"1999"	"1999"	"49 years"	"49"	15018	3765572	398.8
	"1999"	"1999"	"50 years"	"50"	15633	3762700	415.5
	"1999"	"1999"	"51 years"	"51"	16870	3601854	468.4
	"1999"	"1999"	"52 years"	"52"	18686	3873166	482.4
	"1999"	"1999"	"53 years"	"53"	16198	2785325	581.5
	"1999"	"1999"	"54 years"	"54"	17467	2900567	602.2
	"1999"	"1999"	"55 years"	"55"	19151	2859176	669.8
	"1999"	"1999"	"56 years"	"56"	21335	2934509	727.0
	"1999"	"1999"	"57 years"	"57"	20641	2561216	805.9
	"1999"	"1999"	"58 years"	"58"	21328	2412512	884.1
	"1999"	"1999"	"59 years"	"59"	22429	2317408	967.8
	"1999"	"1999"	"60 years"	"60"	23520	2313430	1016.7
	"1999"	"1999"	"61 years"	"61"	25087	2178551	1151.5
	"1999"	"1999"	"62 years"	"62"	26240	2076327	1263.8
	"1999"	"1999"	"63 years"	"63"	28216	2054965	1373.1
	"1999"	"1999"	"64 years"	"64"	31032	2069932	1499.2
	"1999"	"1999"	"65 years"	"65"	31942	1913454	1669.3
	"1999"	"1999"	"66 years"	"66"	34234	1896361	1805.2
	"1999"	"1999"	"67 years"	"67"	36624	1916683	1910.8
	"1999"	"1999"	"68 years"	"68"	40061	1917811	2088.9
	"1999"	"1999"	"69 years"	"69"	43834	1897189	2310.5
	"1999"	"1999"	"70 years"	"70"	45803	1872535	2446.0
	"1999"	"1999"	"71 years"	"71"	49997	1830815	2730.9
	"1999"	"1999"	"72 years"	"72"	53562	1751382	3058.3
	"1999"	"1999"	"73 years"	"73"	56456	1714390	3293.1
	"1999"	"1999"	"74 years"	"74"	60087	1708289	3517.4
	"1999"	"1999"	"75 years"	"75"	62824	1637734	3836.0
	"1999"	"1999"	"76 years"	"76"	64443	1539287	4186.5
	"1999"	"1999"	"77 years"	"77"	68654	1499362	4578.9
	"1999"	"1999"	"78 years"	"78"	70776	1407240	5029.4
	"1999"	"1999"	"79 years"	"79"	71652	1258983	5691.3
	"1999"	"1999"	"80 years"	"80"	70344	1189382	5914.3
	"1999"	"1999"	"81 years"	"81"	72038	1047265	6878.7
	"1999"	"1999"	"82 years"	"82"	72361	972176	7443.2
	"1999"	"1999"	"83 years"	"83"	72459	875092	8280.2
	"1999"	"1999"	"84 years"	"84"	73039	798393	9148.3
	"1999"	"1999"	"85 years"	"85"	72299	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	70110	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	66398	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	63168	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	58928	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	53410	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	49652	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	43121	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	36454	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	31354	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	25851	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	20738	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	15821	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	12093	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	8831	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	17913	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	356	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"0"	28035	3805648	736.7
	"2000"	"2000"	"1 year"	"1"	1946	3820582	50.9
	"2000"	"2000"	"2 years"	"2"	1317	3790446	34.7
	"2000"	"2000"	"3 years"	"3"	932	3832799	24.3
	"2000"	"2000"	"4 years"	"4"	784	3926323	20.0
